[s],CH2[V]
-9.9800E-04,-2.549291502E-02
-9.9600E-04,-2.665502458E-02
-9.9400E-04,-2.172338315E-02
-9.9200E-04,-1.952611716E-02
-9.9000E-04,-2.515111809E-02
-9.8800E-04,-2.437963358E-02
-9.8600E-04,-2.250463328E-02
-9.8400E-04,-2.662572770E-02
-9.8200E-04,-2.513158683E-02
-9.8000E-04,-2.062963297E-02
-9.7800E-04,-2.625463389E-02
-9.7600E-04,-2.133275809E-02
-9.7400E-04,-2.061986734E-02
-9.7200E-04,-2.141088310E-02
-9.7000E-04,-2.514135246E-02
-9.6800E-04,-2.627416515E-02
-9.6600E-04,-2.138158622E-02
-9.6400E-04,-2.660619645E-02
-9.6200E-04,-2.702611839E-02
-9.6000E-04,-2.551244627E-02
-9.5800E-04,-2.211400821E-02
-9.5600E-04,-2.287572709E-02
-9.5400E-04,-2.514135246E-02
-9.5200E-04,-2.585424320E-02
-9.5000E-04,-2.286596146E-02
-9.4800E-04,-2.288549271E-02
-9.4600E-04,-2.664525896E-02
-9.4400E-04,-2.737768095E-02
-9.4200E-04,-2.286596146E-02
-9.4000E-04,-2.475072740E-02
-9.3800E-04,-2.511205558E-02
-9.3600E-04,-2.216283635E-02
-9.3400E-04,-2.325658653E-02
-9.3200E-04,-2.213353947E-02
-9.3000E-04,-3.228002550E-02
-9.2800E-04,-2.888158745E-02
-9.2600E-04,-2.549291502E-02
-9.2400E-04,-2.699682151E-02
-9.2200E-04,-3.113744719E-02
-9.2000E-04,-3.302221313E-02
-9.1800E-04,-2.852025926E-02
-9.1600E-04,-2.997533763E-02
-9.1400E-04,-3.487768218E-02
-9.1200E-04,-3.264135369E-02
-9.1000E-04,-3.075658775E-02
-9.0800E-04,-3.115697845E-02
-9.0600E-04,-2.887182182E-02
-9.0400E-04,-2.851049364E-02
-9.0200E-04,-3.076635338E-02
-9.0000E-04,-3.187963481E-02
-8.9800E-04,-2.888158745E-02
-8.9600E-04,-3.074682213E-02
-8.9400E-04,-3.154760351E-02
-8.9200E-04,-2.888158745E-02
-8.9000E-04,-2.514135246E-02
-8.8800E-04,-2.813939983E-02
-8.8600E-04,-2.438939921E-02
-8.8400E-04,-2.735814970E-02
-8.8200E-04,-3.228002550E-02
-8.8000E-04,-2.322728965E-02
-8.7800E-04,-2.811986857E-02
-8.7600E-04,-3.001440013E-02
-8.7400E-04,-2.815893108E-02
-8.7200E-04,-3.000463451E-02
-8.7000E-04,-2.549291502E-02
-8.6800E-04,-2.626439952E-02
-8.6600E-04,-3.299291625E-02
-8.6400E-04,-3.299291625E-02
-8.6200E-04,-3.342260382E-02
-8.6000E-04,-3.038549394E-02
-8.5800E-04,-2.514135246E-02
-8.5600E-04,-2.850072801E-02
-8.5400E-04,-2.812963420E-02
-8.5200E-04,-3.113744719E-02
-8.5000E-04,-2.812963420E-02
-8.4800E-04,-3.149877538E-02
-8.4600E-04,-3.113744719E-02
-8.4400E-04,-2.925268126E-02
-8.4200E-04,-2.248510202E-02
-8.4000E-04,-2.853002489E-02
-8.3800E-04,-2.927221251E-02
-8.3600E-04,-3.265111932E-02
-8.3400E-04,-2.776830601E-02
-8.3200E-04,-3.038549394E-02
-8.3000E-04,-2.850072801E-02
-8.2800E-04,-3.302221313E-02
-8.2600E-04,-3.374486949E-02
-8.2400E-04,-3.149877538E-02
-8.2200E-04,-3.073705650E-02
-8.2000E-04,-3.488744781E-02
-8.1800E-04,-3.188940044E-02
-8.1600E-04,-3.188940044E-02
-8.1400E-04,-3.039525957E-02
-8.1200E-04,-3.452611962E-02
-8.1000E-04,-3.414526019E-02
-8.0800E-04,-3.266088494E-02
-8.0600E-04,-3.188940044E-02
-8.0400E-04,-3.111791594E-02
-8.0200E-04,-3.112768157E-02
-8.0000E-04,-2.814916545E-02
-7.9800E-04,-2.663549333E-02
-7.9600E-04,-2.925268126E-02
-7.9400E-04,-2.736791532E-02
-7.9200E-04,-3.040502520E-02
-7.9000E-04,-2.661596208E-02
-7.8800E-04,-3.001440013E-02
