[s],CH4[V]
-1.6980E-03,3.197102348E-02
-1.6960E-03,3.478903618E-02
-1.6940E-03,3.321198285E-02
-1.6920E-03,3.460013234E-02
-1.6900E-03,3.048058287E-02
-1.6880E-03,3.120713023E-02
-1.6860E-03,3.243902969E-02
-1.6840E-03,2.961855651E-02
-1.6820E-03,3.221585079E-02
-1.6800E-03,2.982365375E-02
-1.6780E-03,3.112887170E-02
-1.6760E-03,3.330406966E-02
-1.6740E-03,3.181481160E-02
-1.6720E-03,3.097746634E-02
-1.6700E-03,3.288605507E-02
-1.6680E-03,3.216929241E-02
-1.6660E-03,3.258690646E-02
-1.6640E-03,3.348925417E-02
-1.6620E-03,3.212433619E-02
-1.6600E-03,3.318026364E-02
-1.6580E-03,3.238507079E-02
-1.6560E-03,3.356913394E-02
-1.6540E-03,3.291384514E-02
-1.6520E-03,3.497952312E-02
-1.6500E-03,3.551680425E-02
-1.6480E-03,3.605454313E-02
-1.6460E-03,3.299832162E-02
-1.6440E-03,3.070896883E-02
-1.6420E-03,3.182736196E-02
-1.6400E-03,3.404122188E-02
-1.6380E-03,3.328692259E-02
-1.6360E-03,3.133520871E-02
-1.6340E-03,3.101427818E-02
-1.6320E-03,3.074608584E-02
-1.6300E-03,3.339630906E-02
-1.6280E-03,3.256920626E-02
-1.6260E-03,2.997517355E-02
-1.6240E-03,3.205124658E-02
-1.6220E-03,3.257962038E-02
-1.6200E-03,3.536349154E-02
-1.6180E-03,2.994194753E-02
-1.6160E-03,3.211279673E-02
-1.6140E-03,3.470589484E-02
-1.6120E-03,3.492190211E-02
-1.6100E-03,3.572785241E-02
-1.6080E-03,3.358900852E-02
-1.6060E-03,3.457787358E-02
-1.6040E-03,3.293497857E-02
-1.6020E-03,3.312477886E-02
-1.6000E-03,3.333563629E-02
-1.5980E-03,3.533243990E-02
-1.5960E-03,3.510590406E-02
-1.5940E-03,3.282416159E-02
-1.5920E-03,3.125494747E-02
-1.5900E-03,3.298077401E-02
-1.5880E-03,3.098713660E-02
-1.5860E-03,3.169829166E-02
-1.5840E-03,3.078903934E-02
-1.5820E-03,3.056124466E-02
-1.5800E-03,3.207135004E-02
-1.5780E-03,3.103283668E-02
-1.5760E-03,3.241053390E-02
-1.5740E-03,3.189196387E-02
-1.5720E-03,3.174439228E-02
-1.5700E-03,3.112866189E-02
-1.5680E-03,3.303034601E-02
-1.5660E-03,3.375237296E-02
-1.5640E-03,3.104153419E-02
-1.5620E-03,3.244410324E-02
-1.5600E-03,3.622263780E-02
-1.5580E-03,3.574177605E-02
-1.5560E-03,3.731301197E-02
-1.5540E-03,3.381457161E-02
-1.5520E-03,3.279690558E-02
-1.5500E-03,3.405199840E-02
-1.5480E-03,3.421324568E-02
-1.5460E-03,3.395918680E-02
-1.5440E-03,3.201830666E-02
-1.5420E-03,3.231793211E-02
-1.5400E-03,3.155258927E-02
-1.5380E-03,3.236670302E-02
-1.5360E-03,3.256638338E-02
-1.5340E-03,3.164711749E-02
-1.5320E-03,3.067841310E-02
-1.5300E-03,3.137160093E-02
-1.5280E-03,3.140890868E-02
-1.5260E-03,3.012041817E-02
-1.5240E-03,3.047940031E-02
-1.5220E-03,3.251231004E-02
-1.5200E-03,3.413565473E-02
-1.5180E-03,3.066483278E-02
-1.5160E-03,3.109501626E-02
-1.5140E-03,3.252192308E-02
-1.5120E-03,3.009974251E-02
-1.5100E-03,3.507880063E-02
-1.5080E-03,3.375624488E-02
-1.5060E-03,3.433312256E-02
-1.5040E-03,3.466933096E-02
-1.5020E-03,3.252316286E-02
-1.5000E-03,3.427355606E-02
-1.4980E-03,3.232117460E-02
-1.4960E-03,3.595433102E-02
-1.4940E-03,3.220185085E-02
-1.4920E-03,3.406617001E-02
-1.4900E-03,3.283057029E-02
-1.4880E-03,3.423762160E-02
-1.4860E-03,3.205807489E-02
-1.4840E-03,3.106388832E-02
-1.4820E-03,3.388960671E-02
-1.4800E-03,3.272406392E-02
-1.4780E-03,3.130762845E-02
-1.4760E-03,3.267746739E-02
-1.4740E-03,3.153979096E-02
-1.4720E-03,3.092497610E-02
-1.4700E-03,3.433556397E-02
-1.4680E-03,3.071718951E-02
-1.4660E-03,3.348219698E-02
-1.4640E-03,3.203518670E-02
-1.4620E-03,3.320683301E-02
-1.4600E-03,3.627556673E-02
-1.4580E-03,3.436266740E-02
-1.4560E-03,3.619620194E-02
-1.4540E-03,3.273320012E-02
-1.4520E-03,3.257740786E-02
-1.4500E-03,3.384346794E-02
-1.4480E-03,3.419144468E-02
-1.4460E-03,3.580778940E-02
-1.4440E-03,3.473784294E-02
-1.4420E-03,3.350254839E-02
-1.4400E-03,3.109961297E-02
-1.4380E-03,3.210009379E-02
-1.4360E-03,3.547850468E-02
-1.4340E-03,3.606095183E-02
-1.4320E-03,3.099545264E-02
-1.4300E-03,3.314888775E-02
-1.4280E-03,3.081505558E-02
-1.4260E-03,3.293524560E-02
-1.4240E-03,3.223055645E-02
-1.4220E-03,3.242558288E-02
-1.4200E-03,3.332329574E-02
-1.4180E-03,3.319590390E-02
-1.4160E-03,3.202248376E-02
-1.4140E-03,3.201605599E-02
-1.4120E-03,3.462313497E-02
-1.4100E-03,3.428673584E-02
-1.4080E-03,3.291107948E-02
-1.4060E-03,3.374836752E-02
-1.4040E-03,3.349665468E-02
-1.4020E-03,3.415224866E-02
-1.4000E-03,3.734753498E-02
-1.3980E-03,3.503868909E-02
-1.3960E-03,3.295389947E-02
-1.3940E-03,3.393471552E-02
-1.3920E-03,3.383574318E-02
-1.3900E-03,3.373341391E-02
-1.3880E-03,3.182600774E-02
-1.3860E-03,3.250883867E-02
-1.3840E-03,3.127943783E-02
-1.3820E-03,3.224112317E-02
